sku,product_name,category,quantity_on_hand,reorder_point,cost_per_unit,wholesale_price,retail_price,last_restock_date,units_sold_30d,supplier,growth_stage,pot_size
NUR001,Monstera Deliciosa,Tropical Foliage,45,20,8.50,15.00,28.00,2024-01-15,35,Green Valley Growers,Mature,10-inch
NUR002,Snake Plant (Sansevieria),Low Light,82,30,4.25,8.50,16.00,2024-02-01,48,Desert Botanicals,Mature,6-inch
NUR003,Pothos Golden,Trailing Plants,120,40,3.50,7.00,14.00,2024-02-10,95,Tropical Source,Mature,6-inch
NUR004,Fiddle Leaf Fig,Statement Plants,18,10,22.00,45.00,89.00,2024-01-20,12,Premium Plants Inc,Mature,14-inch
NUR005,Peace Lily,Flowering,65,25,6.75,12.50,24.00,2024-02-05,38,Green Valley Growers,Blooming,8-inch
NUR006,ZZ Plant,Low Maintenance,38,15,9.25,18.00,34.00,2024-01-28,22,Desert Botanicals,Mature,8-inch
NUR007,Philodendron Brasil,Trailing Plants,92,35,4.50,9.00,18.00,2024-02-12,67,Tropical Source,Mature,6-inch
NUR008,Bird of Paradise,Statement Plants,8,8,35.00,68.00,125.00,2024-01-10,5,Premium Plants Inc,Young,12-inch
NUR009,Spider Plant,Air Purifying,105,40,3.25,6.50,13.00,2024-02-08,78,Green Valley Growers,Mature,6-inch
NUR010,Rubber Plant,Foliage,28,12,11.50,22.00,42.00,2024-01-25,18,Tropical Source,Mature,10-inch
NUR011,Aloe Vera,Succulents,72,30,3.75,7.50,15.00,2024-02-03,45,Desert Botanicals,Mature,5-inch
NUR012,Chinese Money Plant,Trending,55,20,7.25,14.00,27.00,2024-02-07,32,Premium Plants Inc,Mature,6-inch
NUR013,Prayer Plant,Tropical Foliage,42,18,8.75,16.50,32.00,2024-01-30,25,Tropical Source,Mature,6-inch
NUR014,Boston Fern,Ferns,33,15,6.50,12.00,23.00,2024-02-02,19,Green Valley Growers,Mature,8-inch
NUR015,Jade Plant,Succulents,88,35,4.00,8.00,16.00,2024-02-11,58,Desert Botanicals,Mature,6-inch
NUR016,Calathea Ornata,Tropical Foliage,24,12,12.50,24.00,46.00,2024-01-18,15,Premium Plants Inc,Mature,8-inch
NUR017,English Ivy,Trailing Plants,67,25,3.50,7.00,14.00,2024-02-06,42,Green Valley Growers,Mature,6-inch
NUR018,Succulent Assortment,Succulents,145,50,2.25,5.00,10.00,2024-02-13,112,Desert Botanicals,Mature,3-inch
NUR019,Orchid Phalaenopsis,Flowering,15,10,18.00,35.00,68.00,2024-01-22,8,Orchid Specialists,Blooming,6-inch
NUR020,Dracaena Marginata,Statement Plants,31,15,13.25,25.00,48.00,2024-01-29,19,Tropical Source,Mature,10-inch
NUR021,Croton,Colorful Foliage,38,15,9.50,18.00,35.00,2024-02-04,22,Premium Plants Inc,Mature,8-inch
NUR022,String of Pearls,Trailing Succulents,52,20,6.75,13.00,25.00,2024-02-09,31,Desert Botanicals,Mature,6-inch
NUR023,Anthurium,Flowering,27,12,15.50,29.00,56.00,2024-01-26,16,Tropical Source,Blooming,8-inch
NUR024,Parlor Palm,Palms,45,20,7.50,14.50,28.00,2024-02-01,28,Green Valley Growers,Mature,8-inch
NUR025,Hoya Carnosa,Trailing Plants,34,15,8.25,16.00,31.00,2024-01-31,20,Premium Plants Inc,Mature,6-inch
NUR026,Cactus Assortment,Cacti,98,40,2.50,5.50,11.00,2024-02-12,75,Desert Botanicals,Mature,3-inch
NUR027,Monstera Adansonii,Tropical Foliage,41,18,9.75,18.50,36.00,2024-02-03,24,Tropical Source,Mature,6-inch
NUR028,Alocasia Polly,Statement Plants,19,10,16.25,31.00,59.00,2024-01-24,11,Premium Plants Inc,Mature,8-inch
NUR029,Ficus Elastica Ruby,Foliage,22,12,14.50,27.50,52.00,2024-01-27,13,Tropical Source,Mature,10-inch
NUR030,Propagation Trays,Supplies,156,60,1.25,2.75,5.50,2024-02-14,88,Garden Supply Co,N/A,Standard
NUR031,Potting Soil (5L),Supplies,245,100,3.50,7.00,12.00,2024-02-15,142,Soil Masters,N/A,5-Liter
NUR032,Ceramic Pots (6-inch),Supplies,78,30,4.75,9.50,18.00,2024-02-10,45,Pottery Plus,N/A,6-inch
NUR033,Plant Food Concentrate,Supplies,124,50,2.85,6.00,11.00,2024-02-11,72,NutriGrow,N/A,500ml
NUR034,Moss Poles,Supplies,45,20,3.25,6.50,12.00,2024-02-08,28,Garden Supply Co,N/A,24-inch
NUR035,Decorative Pebbles,Supplies,88,35,2.15,4.50,8.00,2024-02-13,52,Stone & Gravel Inc,N/A,2-lb bag
